127.0.0.1 - - [23/Nov/2018:09:26:02 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:26:04 +0800] "GET /StudentManager/login.jsp HTTP/1.1" 200 2456
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:26:04 +0800] "GET /StudentManager/css/style.default.css HTTP/1.1" 200 123653
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:26:04 +0800] "GET /StudentManager/js/custom/index.js HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:26:04 +0800] "GET /StudentManager/js/custom/general.js HTTP/1.1" 200 9570
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:26:04 +0800] "GET /StudentManager/css/plugins/uniform.tp.css HTTP/1.1" 200 11156
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:26:04 +0800] "GET /StudentManager/css/plugins/jquery.ui.css HTTP/1.1" 200 9330
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:26:04 +0800] "GET /StudentManager/css/plugins/jquery.alerts.css HTTP/1.1" 200 2589
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:26:04 +0800] "GET /StudentManager/fonts/roboto.css HTTP/1.1" 200 7125
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:26:04 +0800] "GET /StudentManager/css/plugins/colorbox.css HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:26:04 +0800] "GET /StudentManager/css/plugins/colorpicker.css HTTP/1.1" 200 3599
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:26:04 +0800] "GET /StudentManager/css/plugins/ui.spinner.css HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:26:04 +0800] "GET /StudentManager/css/plugins/jquery.ui.autocomplete.css HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [23/Nov/2018:09:26:04 +0800] "GET /StudentManager/css/plugins/jquery.chosen.css HTTP/1.1" 200 12160
