0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:28 +0800] "GET /StudentManager/images/default/headerbg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:28 +0800] "GET /StudentManager/images/default/noise.white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:28 +0800] "GET /StudentManager/images/default/topheaderbg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:28 +0800] "GET /StudentManager/images/default/icons_sprite.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:28 +0800] "GET /StudentManager/images/default/menuarrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:28 +0800] "GET /StudentManager/images/default/arrow-active.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:28 +0800] "GET /StudentManager/fonts/Roboto-BoldCondensed-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:28 +0800] "GET /StudentManager/images/default/userinfoarrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:31 +0800] "GET /StudentManager/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:31 +0800] "GET /StudentManager/login.jsp HTTP/1.1" 200 2456
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:42 +0800] "POST /StudentManager/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:42 +0800] "GET /StudentManager/index.jsp HTTP/1.1" 200 5435
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:42 +0800] "GET /StudentManager/js/plugins/jquery.flot.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:42 +0800] "GET /StudentManager/js/custom/dashboard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:42 +0800] "GET /StudentManager/js/plugins/jquery.flot.resize.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:42 +0800] "GET /StudentManager/js/plugins/jquery.slimscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:44 +0800] "GET /StudentManager/images/default/icons_sprite2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:44 +0800] "GET /StudentManager/images/line.dashed.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:45 +0800] "GET /StudentManager/StudentBasicinfoServlet?page=first HTTP/1.1" 200 14788
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:45 +0800] "GET /StudentManager/images/buttons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:45 +0800] "GET /StudentManager/images/icons/sprites.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:50 +0800] "GET /StudentManager/StudentDetailServlet?stuNo=2016243000 HTTP/1.1" 200 6919
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:50 +0800] "GET /StudentManager/images/user/a.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:49:57 +0800] "POST /StudentManager/SearchServlet?location=student HTTP/1.1" 200 98467
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:50:13 +0800] "GET /StudentManager/StudentCourseServlet HTTP/1.1" 200 8012
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:50:37 +0800] "GET /StudentManager/StudentChooseCourseServlet?page=first HTTP/1.1" 200 15133
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:50:40 +0800] "GET /StudentManager/StudentChooseCourseServlet?page=next HTTP/1.1" 200 15118
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:50:44 +0800] "GET /StudentManager/CourseChooseServlet?courseNo=413 HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:50:45 +0800] "GET /School/StudentCourseServlet HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:50:52 +0800] "GET /StudentManager/StudentCourseServlet HTTP/1.1" 200 8293
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:50:59 +0800] "GET /StudentManager/TeacherBasicinfoServlet?page=first HTTP/1.1" 200 14851
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:51:07 +0800] "GET /StudentManager/TeacherStudentServlet HTTP/1.1" 200 7218
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:51:10 +0800] "GET /StudentManager/ShowStudentScoreServlet?page=first HTTP/1.1" 200 7708
0:0:0:0:0:0:0:1 - - [21/Nov/2018:15:51:12 +0800] "GET /StudentManager/addCourse.jsp HTTP/1.1" 200 6608
